index,rank
tree_0.05,14.25
tree_0.1,15.9
tree_0.0,16.3
tree_0.45,19.0
tree_0.4,19.0
tree_0.3,19.3
tree_0.15,20.7
tree_0.35,21.0
tree_0.75,21.8
mix_0.1,22.1
tree_0.7,22.15
tree_0.65,22.35
mix_0.65,22.6
mix_0.45,22.65
tree_0.25,22.75
tree_0.5,22.9
tree_0.2,23.0
mix_0.3,23.7
mix_0.25,24.05
tree_0.6,24.2
tree_0.55,24.2
mix_0.5,24.7
mix_0.35,24.95
mix_0.6,25.9
mix_0.55,25.95
mix_0.2,26.3
mix_0.4,27.4
mix_0.0,27.45
mix_0.15,28.15
mix_0.7,28.35
tree_0.85,30.5
mix_0.05,32.6
mix_0.75,33.0
mix_0.8,33.9
tree_0.8,33.9
mix_0.85,34.95
tree_0.9,43.35
knn_0.35,44.25
tree_0.95,44.9
knn_0.45,45.4
knn_0.75,47.8
knn_0.55,48.1
knn_0.65,48.85
knn_0.4,49.3
knn_0.25,49.3
knn_0.6,49.55
knn_0.0,50.45
knn_0.85,51.05
knn_0.3,51.7
knn_0.7,51.85
mix_0.9,52.35
knn_0.1,52.55
knn_0.05,52.7
knn_0.15,52.8
knn_0.5,53.2
mix_0.95,53.9
knn_0.2,57.05
knn_0.8,57.9
perceptron_0.55,60.1
knn_0.95,60.6
perceptron_0.6,61.1
perceptron_0.65,62.85
knn_0.9,63.3
perceptron_0.5,63.35
perceptron_0.45,64.15
perceptron_0.4,64.7
perceptron_0.75,65.0
perceptron_0.7,65.85
perceptron_0.35,66.7
perceptron_0.3,67.55
perceptron_0.95,67.65
perceptron_0.85,69.25
perceptron_0.2,71.25
perceptron_0.8,71.6
perceptron_0.25,72.4
perceptron_0.0,72.85
knn_1.0,73.8
perceptron_0.1,74.4
mix_1.0,74.4
tree_1.0,74.65
perceptron_0.9,75.45
perceptron_0.05,77.05
perceptron_1.0,77.2
naive-bayes_0.6,77.7
naive-bayes_0.8,77.8
perceptron_0.15,78.95
naive-bayes_0.7,79.3
naive-bayes_0.95,79.9
naive-bayes_0.9,80.4
naive-bayes_0.65,80.4
naive-bayes_0.85,80.6
naive-bayes_0.5,81.6
naive-bayes_0.75,81.75
naive-bayes_1.0,82.0
naive-bayes_0.55,83.55
naive-bayes_0.45,85.55
naive-bayes_0.4,86.0
naive-bayes_0.35,86.9
naive-bayes_0.3,87.55
naive-bayes_0.25,88.9
naive-bayes_0.1,90.65
naive-bayes_0.2,91.1
naive-bayes_0.15,91.3
naive-bayes_0.05,91.65
naive-bayes_0.0,94.05
